"x"
"-18.89625 20.87111667"
"-18.89615 20.87095"
"-18.8962 20.87105"
"-18.89623333 20.87111667"
"-18.89615 20.87105"
"-18.86746667 20.80981667"
"-18.95268333 20.77761667"
"-18.90391667 20.83868333"
"-18.90516667 20.83608333"
"-18.90295 20.83985"
"-18.9502000000001 20.77601667"
"-18.90288333 20.83971667"
"-18.90156667 20.84138333"
"-18.9033166699999 20.84038333"
"-18.90015 20.84333333"
"-18.89601667 20.86953333"
"-19.00943333 20.91708333"
"-19.00928333 20.91531667"
"-19.00953333 20.91563333"
"-19.0135 20.9147"
"-19.00933333 20.91641667"
"-19.00933333 20.91551667"
"-19.00936667 20.91581667"
"-19.00963333 20.9156"
"-18.895 20.86925"
"-18.89611667 20.86966667"
"-19.00976667 20.91591667"
"-19.00956667 20.91606667"
"-19.0096 20.91561667"
"-18.89591667 20.8639"
"-18.89658333 20.86913333"
"-19.00896667 20.91386667"
"-19.00938333 20.91555"
"-19.00986667 20.9166"
"-18.89545 20.86933333"
"-18.71598333 20.86128333"
"-18.60143333 20.85813333"
"-18.59446667 20.84431667"
"-18.48045 20.83475"
"-18.4805 20.8347"
"-18.48 20.83576667"
"-18.59628333 20.84321667"
"-18.58405 20.84326667"
"-18.59778333 20.85403333"
"-18.59563333 20.84341667"
"-18.588 20.8514"
"-18.4806 20.83515"
"-18.48058333 20.83446667"
"-18.48081667 20.83433333"
"-18.48058333 20.83521667"
"-18.4805 20.8344"
"-18.47943333 20.8364"
