"","unique","revisits2013w","revisits2014w","revisits2015w","revisits2013d","revisits2014d","revisits2015d","X","Y","diff2013","diff2014","diff2015"
"265","982",0,0,0,0,1,0,1125707.56308185,-2076029.60432042,0,-1,0
"266","984",0,0,1,0,0,0,1126343.42860054,-2076109.84747457,0,0,1
"267","987",0,0,0,0,0,1,1119320.62929523,-2075888.21610838,0,0,-1
"268","989",0,0,0,0,0,0,1121001.08950412,-2076107.65394137,0,0,0
"269","990",0,0,0,0,0,0,1132483.60789445,-2076570.8198033,0,0,0
"270","991",0,1,0,0,0,0,1099275.92245054,-2075392.20113254,0,1,0
"271","992",0,0,0,0,0,0,1100119.20817676,-2075455.35665179,0,0,0
"272","994",0,0,0,0,0,1,1122080.37466305,-2076325.4177209,0,0,-1
"273","997",0,2,3,0,1,2,1109114.99930383,-2076187.69686124,0,1,1
"274","999",0,0,0,0,0,0,1101341.17641784,-2075729.50074127,0,0,0
"275","1000",0,0,0,0,0,0,1116425.22841382,-2076424.82656241,0,0,0
"276","1004",0,0,0,0,0,0,1123188.86276523,-2076594.1869669,0,0,0
"277","1006",0,1,0,0,0,0,1124899.53707398,-2076771.80387242,0,1,0
"278","1008",0,0,0,0,4,0,1093478.45362994,-2075703.62006745,0,-4,0
"279","1009",0,0,0,0,3,2,1118873.46940599,-2076548.78731031,0,-3,-2
"280","1010",0,0,0,0,0,2,1117227.1083166,-2076561.29639189,0,0,-2
"281","1012",0,0,0,0,0,0,1101023.65392268,-2076103.63399426,0,0,0
"282","1015",0,1,0,0,0,0,1110621.10422489,-2076710.60093759,0,1,0
"283","1017",1,0,0,1,3,3,1119001.92216453,-2077156.9817966,0,-3,-3
"284","1027",0,0,0,0,0,1,1112800.15629686,-2077476.56843254,0,0,-1
"285","1028",0,0,0,0,0,2,1117240.21651969,-2077748.87671286,0,0,-2
"286","1029",0,0,0,0,0,0,1130658.75499603,-2078160.966269,0,0,0
"287","1039",0,0,1,0,1,2,1120560.65471784,-2078390.07842217,0,-1,-1
"288","1040",0,1,0,0,2,1,1116477.74645608,-2078296.87879247,0,-1,-1
"289","1041",0,0,0,0,0,0,1123687.06736043,-2078435.52461206,0,0,0
"290","1044",0,0,2,0,1,4,1125937.20556202,-2078695.54791645,0,-1,-2
"291","1046",0,0,0,0,0,0,1131398.22093714,-2078893.56496907,0,0,0
"292","1051",0,0,0,0,1,0,1093306.61876204,-2077769.51877958,0,-1,0
"293","1052",0,0,0,0,0,0,1132083.86098748,-2079080.59722224,0,0,0
"294","1053",0,1,3,1,8,5,1118719.09079053,-2078926.46026902,-1,-7,-2
"295","1055",0,0,0,0,1,0,1100266.94054087,-2078150.36829369,0,-1,0
"296","1063",0,0,1,0,0,0,1103613.46971371,-2078464.58808238,0,0,1
"297","1064",0,0,0,0,2,0,1111822.42289144,-2078835.98258565,0,-2,0
"298","1066",0,2,0,0,3,1,1105443.25623918,-2078764.16813224,0,-1,-1
"299","1068",0,0,0,0,2,0,1112882.09936522,-2079093.26356557,0,-2,0
"300","1069",0,1,2,1,1,1,1120548.13734498,-2079427.16805321,-1,0,1
"301","1070",0,1,0,0,0,1,1106352.35556204,-2078899.07935028,0,1,-1
"302","1072",0,0,1,0,0,0,1107552.19603395,-2079230.72699134,0,0,1
"303","1074",0,2,0,0,0,0,1103862.83054855,-2079109.61678064,0,2,0
"304","1079",0,0,1,0,0,0,1119318.78842487,-2079921.07136311,0,0,1
"305","1081",0,0,1,0,4,0,1093787.08743138,-2079250.83057518,0,-4,1
"306","1086",0,0,3,1,0,1,1123446.33012144,-2080318.97863666,-1,0,2
"307","1087",1,8,12,8,2,12,1119087.52291598,-2080197.0739577,-7,6,0
"308","1089",0,1,2,0,1,1,1121569.47802485,-2080369.53831415,0,0,1
"309","1090",0,0,1,1,0,1,1120887.18819202,-2080365.39385149,-1,0,0
"310","1092",0,0,1,0,1,1,1116933.453841,-2080336.43743352,0,-1,0
"311","1098",0,1,0,0,0,1,1126810.6027489,-2080901.31541765,0,1,-1
"312","1100",0,0,0,1,0,0,1126116.40364003,-2080855.17613808,-1,0,0
"313","1101",0,1,4,0,0,2,1127500.57346064,-2080929.77883385,0,1,2
"314","1105",0,0,0,0,0,0,1095034.30694597,-2079974.36188327,0,0,0
"315","1108",0,0,0,0,0,0,1130010.2827039,-2081263.6178529,0,0,0
"316","1109",0,0,0,0,0,1,1125745.03247369,-2081147.97107745,0,0,-1
"317","1112",0,1,0,0,0,0,1127709.85769599,-2081442.81899988,0,1,0
"318","1115",0,0,0,0,0,0,1130770.69544267,-2081572.90711151,0,0,0
"319","1122",0,0,0,0,0,0,1100463.2770411,-2080741.48177101,0,0,0
"320","1128",0,1,0,1,0,0,1127588.89718947,-2081867.79865743,-1,1,0
"321","1130",0,0,0,0,0,0,1089394.02899557,-2080786.11905423,0,0,0
"322","1133",0,1,1,1,0,0,1120086.42754799,-2081919.9744609,-1,1,1
"323","1137",0,0,1,0,5,3,1114826.51693585,-2081917.87148856,0,-5,-2
"324","1146",0,2,1,0,0,2,1122288.80523889,-2082898.61955232,0,2,-1
"325","1163",0,0,0,0,0,0,1091921.01989446,-2082679.47427512,0,0,0
"326","1165",0,0,0,0,0,0,1123798.76517931,-2083884.28342194,0,0,0
"327","1168",0,1,0,0,0,0,1128909.95682316,-2084240.10037822,0,1,0
"328","1173",0,1,2,0,5,4,1106826.35496572,-2084303.58708154,0,-4,-2
"329","1174",0,0,0,0,0,0,1130136.06482846,-2084615.84206924,0,0,0
"330","1175",0,0,0,0,0,0,1088870.31624244,-2083330.1702593,0,0,0
"331","1182",0,3,2,0,23,6,1113489.7804222,-2084495.73251497,0,-20,-4
"332","1183",0,0,3,0,9,3,1114321.11869027,-2084655.11505614,0,-9,0
