"X","Y","DateTime","ID","wet_recurse$revisits","revisits"
1088733.18638042,-2120775.42603785,2013-11-10 07:28:00,"MET.K10",34,34
1088771.92005385,-2120721.07603201,2013-11-10 08:28:00,"MET.K10",34,34
1088794.619839,-2120727.36193262,2013-11-10 09:29:00,"MET.K10",35,35
1088802.6888963,-2120805.44673919,2013-11-10 10:29:00,"MET.K10",35,35
1088839.91906134,-2120688.04705164,2013-11-10 11:29:00,"MET.K10",36,36
1088810.08405333,-2120794.56549774,2013-11-10 12:29:00,"MET.K10",35,35
1088810.69502765,-2120720.46539687,2013-11-10 13:28:00,"MET.K10",35,35
1088830.17095115,-2120717.38231344,2013-11-10 14:28:00,"MET.K10",35,35
1088748.90585806,-2120779.63612854,2013-11-10 15:29:00,"MET.K10",34,34
1088783.29051673,-2120751.08864264,2013-11-10 16:29:00,"MET.K10",35,35
1088795.78720472,-2120745.92978129,2013-11-10 17:28:00,"MET.K10",35,35
1088811.10997957,-2120707.50724348,2013-11-10 18:29:00,"MET.K10",35,35
1088753.4886965,-2120581.51024709,2013-11-10 22:29:00,"MET.K10",33,33
1088781.05618616,-2120765.84079986,2013-11-10 23:29:00,"MET.K10",35,35
1088797.30916874,-2120753.39092761,2013-11-11 00:29:00,"MET.K10",35,35
1088782.22354992,-2120784.40864532,2013-11-11 01:28:00,"MET.K10",35,35
1088661.94718477,-2120854.67815038,2013-11-11 02:29:00,"MET.K10",34,34
1088765.69230236,-2120750.52512868,2013-11-11 03:29:00,"MET.K10",34,34
1088778.07044437,-2120749.06810869,2013-11-11 04:30:00,"MET.K10",34,34
1088798.89147563,-2120759.00062639,2013-11-11 05:29:00,"MET.K10",35,35
1088740.42166814,-2120714.50844222,2013-11-11 06:30:00,"MET.K10",34,34
1088786.86039309,-2120419.51471519,2013-11-11 07:29:00,"MET.K10",33,33
1088832.34602471,-2120704.48163335,2013-11-11 08:29:00,"MET.K10",35,35
1088765.51448106,-2120756.0784612,2013-11-11 17:41:00,"MET.K10",34,34
1088772.33494296,-2120708.1189957,2013-11-11 18:40:00,"MET.K10",34,34
